"Freq [GHz]","dB(S(1,1))_Ref []","dB(S(1,1)) []"
20,-0.95285982592415,-8.73432446432447
20.05,-0.971655992479973,-9.40332330222886
20.1,-0.991210924995371,-10.1482465245412
20.15,-1.01155187651577,-10.9797801204332
20.2,-1.03270761746775,-11.9091772313842
20.25,-1.0547085292133,-12.9462499221248
20.3,-1.07758670386757,-14.0939162485704
20.35,-1.10137605084264,-15.3346107560605
20.4,-1.12611241061632,-16.5998556178893
20.45,-1.15183367626565,-17.7180455741972
20.5,-1.17857992334809,-18.3873758131572
20.55,-1.20639354876091,-18.3237623455887
20.6,-1.23531941926141,-17.5474305273692
20.65,-1.26540503038636,-16.3591232261611
20.7,-1.29670067657089,-15.0496530210705
20.75,-1.32925963333411,-13.7772495041953
20.8,-1.36313835247194,-12.6030703698839
20.85,-1.39839667127801,-11.5416875241509
20.9,-1.43509803690151,-10.5892214758654
20.95,-1.47330974704736,-9.73571170714826
21,-1.51310320833036,-8.97003850452488
21.05,-1.55455421371229,-8.28171592271857
21.1,-1.59774324057978,-7.66143141172481
21.15,-1.64275577116461,-7.10110489793063
21.2,-1.68968263716638,-6.5937799669666
21.25,-1.73862039061502,-6.13347114723708
21.3,-1.78967170320792,-5.71501408706656
21.35,-1.84294579657807,-5.33393400514901
21.4,-1.8985589061988,-4.98633534513897
21.45,-1.95663478191183,-4.66881099295668
21.5,-2.0173052283847,-4.37836807508139
21.55,-2.08071068916676,-4.11236728554998
21.6,-2.14700087842878,-3.8684730619438
21.65,-2.21633546494943,-3.64461240641271
21.7,-2.28888481346402,-3.43894059610004
21.75,-2.36483078913271,-3.24981240649788
21.8,-2.44436763163387,-3.07575777593547
21.85,-2.52770290626694,-2.91546107768021
21.9,-2.6150585404849,-2.76774334977722
21.95,-2.70667195550446,-2.63154697327327
22,-2.80279730410426,-2.50592239673672
22.05,-2.90370682747222,-2.3900165869633
22.1,-3.00969234606801,-2.28306294865695
22.15,-3.12106690201076,-2.18437250444011
22.2,-3.23816657358923,-2.09332616434956
22.25,-3.36135248625577,-2.00936794368503
22.3,-3.49101304907387,-1.931999011681
22.35,-3.62756645125632,-1.8607724724371
22.4,-3.77146346042935,-1.79528879495323
22.45,-3.92319057293802,-1.73519182176965
22.5,-4.0832735773206,-1.68016529619315
22.55,-4.25228160560891,-1.6299298568173
22.6,-4.43083176412173,-1.58424045531158
22.65,-4.61959445690855,-1.54288415945076
22.7,-4.81929954229707,-1.50567830818182
22.75,-5.03074349786392,-1.47246898919641
22.8,-5.25479781395614,-1.4431298119171
22.85,-5.4924188938598,-1.41756094983957
22.9,-5.7446598142479,-1.39568842550223
22.95,-6.01268439874141,-1.3774636085245
23,-6.29778418881809,-1.3628628915138
