"Freq [GHz]","dB(S(1:1,1:1)) []"
20,-0.77330873651123
20.05,-0.787167692288062
20.1,-0.801520345660655
20.15,-0.816390820773169
20.2,-0.831804828973582
20.25,-0.847789772304674
20.3,-0.864374855408707
20.35,-0.88159120660271
20.4,-0.899472008954994
20.45,-0.918052642275112
20.5,-0.937370837019903
20.55,-0.957466841218234
20.6,-0.978383601627983
20.65,-1.00016696046179
20.7,-1.02286586915464
20.75,-1.04653262079785
20.8,-1.07122310303265
20.85,-1.09699707338376
20.9,-1.1239184592223
20.95,-1.15205568477933
21,-1.1814820278909
21.05,-1.21227600944451
21.1,-1.24452181881987
21.15,-1.27830977897881
21.2,-1.31373685526307
21.25,-1.35090721241344
21.3,-1.38993282483235
21.35,-1.43093414568578
21.4,-1.47404084108561
21.45,-1.51939259632281
21.5,-1.56714000194656
21.55,-1.61744552842046
21.6,-1.67048459915184
21.65,-1.72644677290585
21.7,-1.78553704800917
21.75,-1.8479773023511
21.8,-1.91400788504301
21.85,-1.98388937775094
21.9,-2.0579045462336
21.95,-2.13636050557941
22,-2.21959112614385
22.05,-2.30795971137342
22.1,-2.40186198373597
22.15,-2.50172942107944
22.2,-2.60803299320489
22.25,-2.72128735764607
22.3,-2.84205558510704
22.35,-2.9709544993981
22.4,-3.10866073493763
22.45,-3.25591763817953
22.5,-3.41354316934465
22.55,-3.58243899985087
22.6,-3.76360105197071
22.65,-3.95813179482023
22.7,-4.16725470083731
22.75,-4.3923313879582
22.8,-4.63488213688477
22.85,-4.8966106976603
22.9,-5.17943461082708
22.95,-5.48552270368571
23,-5.81734203885862
23.05,-6.17771747837243
23.1,-6.56990831947967
23.15,-6.9977083787931
23.2,-7.46557881021238
23.25,-7.97882744738036
23.3,-8.54385561562499
23.35,-9.16850504353839
23.4,-9.86255720707936
23.45,-10.6384718802447
23.5,-11.5125143932431
23.55,-12.5065408265493
23.6,-13.6509514785352
23.65,-14.9898388854271
23.7,-16.5905359597593
23.75,-18.5626304978228
23.8,-21.0983706215107
23.85,-24.5528776549046
23.9,-29.3099731078022
23.95,-31.1243365485825
24,-26.4096819978341
24.05,-22.4626473278838
24.1,-19.6388811391493
24.15,-17.498773326554
24.2,-15.7948215699698
24.25,-14.3900088536268
24.3,-13.2025848280488
24.35,-12.1802855724205
24.4,-11.2877669104263
24.45,-10.5000189034836
24.5,-9.79867799562706
24.55,-9.16984217829073
24.6,-8.60271394498068
24.65,-8.08872310444736
24.7,-7.62094016379978
24.75,-7.19367235679491
24.8,-6.80217823789244
24.85,-6.44246143300302
24.9,-6.11111855411994
24.95,-5.80522499415202
25,-5.52224773651232
25.05,-5.25997777393148
25.1,-5.01647699228374
25.15,-4.79003588421036
25.2,-4.57913948327137
25.25,-4.38243961875129
25.3,-4.19873208932128
25.35,-4.02693770839303
25.4,-3.86608642976468
25.45,-3.71530394883353
25.5,-3.5738003124184
25.55,-3.44086017298592
25.6,-3.31583440047068
25.65,-3.19813282373867
25.7,-3.08721791891376
25.75,-2.98259929676193
25.8,-2.88382886864208
25.85,-2.79049659204045
25.9,-2.70222671378201
25.95,-2.61867444267478
26,-2.53952299435941
26.05,-2.46448096008344
26.1,-2.39327995843865
26.15,-2.32567253512682
26.2,-2.26143028081547
26.25,-2.20034214131088
26.3,-2.14221289777118
26.35,-2.08686179762916
26.4,-2.03412131939351
26.45,-1.98383605662556
26.5,-1.93586170820919
26.55,-1.89006416359653
26.6,-1.84631867306076
26.65,-1.80450909415564
26.7,-1.76452720659482
26.75,-1.72627208864779
26.8,-1.68964954892021
26.85,-1.65457160806265
26.9,-1.62095602554398
26.95,-1.58872586714844
27,-1.5578091093148
27.05,-1.52813827684298
27.1,-1.49965011085279
27.15,-1.47228526419898
27.2,-1.44598802182959
27.25,-1.42070604382656
27.3,-1.39639012909219
27.35,-1.37299399784476
27.4,-1.35047409126583
27.45,-1.32878938680083
27.5,-1.30790122775855
27.55,-1.28777316598237
27.6,-1.26837081648191
27.65,-1.24966172301666
27.7,-1.23161523371634
27.75,-1.21420238590604
27.8,-1.19739579938004
27.85,-1.18116957743561
27.9,-1.16549921503979
27.95,-1.1503615135575
28,-1.1357345015192
