"Freq [GHz]","dB(S(1,1)) []"
20,-1.13169530927537
20.05,-1.15738752592812
20.1,-1.18416957397082
20.15,-1.21208670110287
20.2,-1.24118663362849
20.25,-1.2715197291655
20.3,-1.30313913951833
20.35,-1.3361009844312
20.4,-1.37046453698927
20.45,-1.40629242149186
20.5,-1.44365082468244
20.55,-1.482609721285
20.6,-1.52324311486717
20.65,-1.56562929512602
20.7,-1.60985111277517
20.75,-1.65599627330082
20.8,-1.70415765095129
20.85,-1.75443362443024
20.9,-1.80692843587936
20.95,-1.86175257486237
21,-1.91902318920157
21.05,-1.97886452467161
21.1,-2.04140839572525
21.15,-2.10679468961579
21.2,-2.1751719064924
21.25,-2.2466977382837
21.3,-2.32153968945336
21.35,-2.39987574301814
21.4,-2.48189507556629
21.45,-2.56779882541411
21.5,-2.65780091849674
21.55,-2.75212895711884
21.6,-2.85102517730263
21.65,-2.95474748118083
21.7,-3.06357055170542
21.75,-3.17778705789881
21.8,-3.29770895998261
21.85,-3.42366892500137
21.9,-3.55602186503528
21.95,-3.69514661178722
22,-3.84144774324777
22.05,-3.9953575802911
22.1,-4.1573383734166
22.15,-4.32788470237824
22.2,-4.50752611403146
22.25,-4.69683002618918
22.3,-4.89640492729245
22.35,-5.10690390273665
22.4,-5.32902851789597
22.45,-5.56353308389693
22.5,-5.81122932286136
22.55,-6.07299143130553
22.6,-6.34976150836994
22.65,-6.64255526129114
22.7,-6.95246781101512
22.75,-7.2806792755912
22.8,-7.6284595755303
22.85,-7.99717153207472
22.9,-8.38827073397844
22.95,-8.80329969915343
23,-9.24387234326634
23.05,-9.71164235076072
23.1,-10.2082451908161
23.15,-10.7351974031098
23.2,-11.2937271638168
23.25,-11.8844953540457
23.3,-12.5071445670925
23.35,-13.1595841475499
23.4,-13.8368876176715
23.45,-14.5296671916933
23.5,-15.2218628716941
23.55,-15.8881821590089
23.6,-16.4921604422546
23.65,-16.9870150675554
23.7,-17.3222641681998
23.75,-17.4571382914897
23.8,-17.3757626552516
23.85,-17.0940418536463
23.9,-16.6527094173901
23.95,-16.1021311719508
24,-15.4889239869534
24.05,-14.8493747726378
24.1,-14.2086099500428
24.15,-13.5825438199968
24.2,-12.9804395021235
24.25,-12.4071176516297
24.3,-11.8645794364378
24.35,-11.3531070871731
24.4,-10.8719773970563
24.45,-10.4199116754734
24.5,-9.99535390156672
24.55,-9.59663951811036
24.6,-9.22209556271024
24.65,-8.87009807872213
24.7,-8.53910315708075
24.75,-8.22766185755969
24.8,-7.93442541415918
24.85,-7.65814471793079
24.9,-7.39766655893573
24.95,-7.15192816079289
25,-6.91995094587993
25.05,-6.70083409532755
25.1,-6.49374823343076
25.15,-6.29792941959692
25.2,-6.11267354013
25.25,-5.93733113660702
25.3,-5.77130267438773
25.35,-5.61403423568048
25.4,-5.46501361130516
25.45,-5.32376676049637
25.5,-5.18985460662622
25.55,-5.062870137236
25.6,-4.94243577837802
25.65,-4.82820101544565
25.7,-4.71984023507146
25.75,-4.61705076510026
25.8,-4.51955109197938
25.85,-4.42707923708885
25.9,-4.33939127553204
25.95,-4.2562599827134
26,-4.17747359564973
26.05,-4.10283467740467
26.1,-4.03215907431921
26.15,-3.96527495684714
26.2,-3.90202193581276
26.25,-3.84225024680036
26.3,-3.78581999617856
26.35,-3.732600462967
26.4,-3.68246945138254
26.45,-3.63531268946529
26.5,-3.59102326969072
26.55,-3.54950112793234
26.6,-3.51065255755381
26.65,-3.47438975578959
26.7,-3.44063039992115
26.75,-3.40929725107858
26.8,-3.38031778379725
26.85,-3.35362383974065
26.9,-3.32915130426554
26.95,-3.30683980475761
27,-3.28663242990613
27.05,-3.26847546931698
27.1,-3.25231817308607
27.15,-3.23811253117129
27.2,-3.2258130726108
27.25,-3.21537668484048
27.3,-3.20676245356378
27.35,-3.19993152382346
27.4,-3.19484698311784
27.45,-3.19147376759356
27.5,-3.18977859253357
27.55,-3.18972990854271
27.6,-3.19129788501494
27.65,-3.19445442264471
27.7,-3.19917319692176
27.75,-3.20542973472359
27.8,-3.21320152629188
27.85,-3.2224681750497
27.9,-3.23321158788404
27.95,-3.24541620868163
28,-3.25906929806548
